2014/10/02                                                                                                   Regional Medical Associates - Hamilton                                                                                                     PAGE   1

  Doc   Dept    Doc   Doc Name                   Doc   Comp       Amt Mtd       Amt Ytd
  G52     1       4   ARMSTRONG MED PROF CORP    D     PAYEFT           .00    110,000.00
  G54     2      36   POPOVIC                    SV    PAYEFT           .00     13,568.57
  G68     1      74   CULBERT                    E     PAYEFT           .00      1,350.00
  G70     1       4   MEHTA MED PROF CORP        S     PAYEFT           .00    500,000.00
  G71     2      14   SKALA MED PROF CORP        RA    PAYEFT     24,430.13    585,893.94
  G74     1       4   HOLDER MED PROF CORP       D     PAYEFT           .00    120,000.00
  G92     1       2   NANDAGOPAL MED PROF CORP   M     PAYEFT           .00    184,999.70
  G96     1       5   ARCHIE MED PROF CORP       S     PAYEFT           .00    105,000.00
  H09     2      14   PANJU MED PROF CORP        AA    PAYEFT     26,040.54    417,790.87
  H10     1       4   PANJU MED PROF CORP        AA    PAYEFT           .01    223,333.00
  H12     1      74   MACNAY MED PROF CORP       R     PAYEFT           .00    325,430.48
  H15     1       2   SHICHOR                    T     PAYEFT           .00    150,000.00
  H17     1       7   JOHNSON                    N     PAYEFT           .00    150,713.00
  H18     2      14   DRAGOMIR MED PROF CORP     A     PAYEFT           .00    216,302.13
  H19     1       4   MOHAMMED MED PROF CORP     N     PAYEFT           .00    216,000.00
  H20     1       3   MATSUMOTO MED PROF CORP    E     PAYEFT           .00    580,000.04
  H39     2      14   MCCHESNEY MED PROF CORP    J     PAYEFT     12,414.41    574,764.84
  H43     1       4   EIKELBOOM MED PROF CORP    J     PAYEFT           .00    100,000.00
  H47     2      36   ELAVATHIL MED PROF CORP    LJ    PAYEFT           .00     26,133.83
  H48     1      75   ANCHALA MED PROF CORP      K     PAYEFT           .00     63,191.00
  H49     1       7   HUANG MED PROF CORP        L     PAYEFT           .95    282,277.00
  H50     1       5   GEORGE                     L     PAYEFT           .00    200,000.00
  H54     1       4   CHAN MED PROF CORP         HHW   PAYEFT           .00    120,000.00
  H55     1       1   BRACKEN MED PROF CORP      K     PAYEFT           .00    135,817.00
  H56     1       7   CHOONG MED PROF CORP       K     PAYEFT           .00    210,000.00
  H59     1       7   CUPIDO MED PROF CORP       CM    PAYEFT           .00    210,000.00
  H75     1       5   MENEZES                    N     PAYEFT           .00    180,000.00
  H79     1       3   KORMAN MED PROF CORP       SB    PAYEFT           .00    355,000.00
  H82     1       3   SEMELHAGO MED PROF CORP    L     PAYEFT           .00    535,000.02
  H87     1       4   DUONG                      M     PAYEFT           .00    110,000.00
  H90     1       7   RATCLIFFE                  EM    PAYEFT           .00    184,354.37
  H91     1       3   SINGH                      SK    PAYEFT           .00    216,849.82
  H95     2      14   PARASCANDALO MED PROF CO   RJ    PAYEFT     16,770.71    433,272.10
  J06     2      14   MUGGAH                     H     PAYEFT           .00      4,171.60
  J08     1       1   CLARKE                     ED    PAYEFT           .00    127,729.00
  J12     1       1   BLAU MED PROF CORP         E     PAYEFT           .00     30,632.00
  J18     2      14   SERGEANT                   M     PAYEFT           .00     35,392.71
  J19     1      23   BRACKEN MED PROF CORP      K     PAYEFT           .00     37,307.93
  J21     1       4   SHERBINO MED PROF CORP     J     PAYEFT           .00    360,000.00
  J23     2      14   STOVER MED PROF CORP       LL    PAYEFT     15,770.08    323,928.00
  J26     1       4   ARLEN MED PROF CORP        DJ    PAYEFT           .67    178,800.00
  J29     1       4   HAIDER MED PROF CORP       S     PAYEFT           .00    110,000.00
  J36     1       4   KEARON MED PROF CORP       MC    PAYEFT           .00    149,040.00
  J37     1       3   GUNNARSSON                 T     PAYEFT           .00    121,377.01
  J39     1       4   MARR                       S     PAYEFT           .00    140,000.00
  J42     2      14   PUCHALSKI MED PROF CORP    S     PAYEFT     18,171.40    452,380.11
  J56     1       6   CULLIMORE MED PROF CORP    A     PAYEFT           .00    183,100.00
  J58     1       4   GANGULI MED PROF CORP      SC    PAYEFT           .00    135,000.00
  J66     2      36   SUR MED PROF CORP          MLS   PAYEFT           .00     20,511.39
  J69     1       1   MOORE MED PROF CORP        A     PAYEFT           .00    150,756.00
  J71     2      14   PLACH                      NR    PAYEFT           .00     21,568.32
  J72     1      74   HUNTER                     AJ    PAYEFT           .00    286,319.20
  J80     2      36   DON-WAUCHOPE               A     PAYEFT        730.92      8,476.16
  J81     1       3   SZALAY MED PROF CORP       DA    PAYEFT           .00    314,000.00
  J84     1       4   RIBAS MED PROF CORP        CS    PAYEFT           .00    288,000.00
  J85     1       4   TRELEAVEN MED PROF CORP    D     PAYEFT           .62    136,300.00
  J86     1       4   FREITAG MED PROF CORP      AP    PAYEFT           .00    330,000.00
  J87     2      14   FREITAG                    A     PAYEFT      2,812.50     83,628.85
  J89     1       4   BRIMBLE MED PROF CORP      S     PAYEFT           .00    303,311.00
  J99     2      14   PINE MED PROF CORP         WE    PAYEFT     20,797.03    488,035.69
  K01     2      14   CYR                        MM    PAYEFT           .00     49,910.16
  K07     1       4   SHETH MED PROF CORP        TN    PAYEFT          1.32    620,000.00
  K10     1       4   STANTON MED PROF CORP      EB    PAYEFT           .00    209,960.00
  K15     2      14   RAMSDALE                   H     PAYEFT           .00     23,575.93
  K16     1       4   GANGJI MED PROF CORP       AS    PAYEFT           .66    289,272.00
  K17     1       4   KREPINSKY MED PROF CORP    J     PAYEFT           .00    183,613.07
  K20     1       4   BERCIK                     P     PAYEFT           .00    125,000.00
  K24     2      36   POWERS                     PJ    PAYEFT           .00    121,715.68
  K30     1       4   DORASAMY MED PROF CORP     P     PAYEFT           .00    171,120.00
  K34     2      14   SILVA                      J     PAYEFT           .00    309,598.97
  K35     1       3   SHAYEGAN MED PROF CORP     B     PAYEFT           .00    590,000.00
  K36     1       4   CROWTHER MED PROF CORP     MA    PAYEFT           .00    145,000.00
  K37     1      74   SEIGEL MED PROF CORP       S     PAYEFT           .00    304,750.21
  K41     1       3   LEVIS MED PROF CORP        C     PAYEFT           .00    214,000.00
  K44     1       5   KIANG                      M     PAYEFT           .00     93,500.02
  K45     2      14   CHRISTJANSON               L     PAYEFT           .00    172,620.24
  K50     1      74   WAHI MED PROF CORP         S     PAYEFT           .00     89,332.78
  K60     2      14   ROBERTSON MED PROF CORP    D     PAYEFT           .00  1,010,273.35
  K68     2      14   BULLEY                     SR    PAYEFT     30,704.85     81,923.03
  K69     1       4   MARSHALL MED PROF CORP     JK    PAYEFT           .00    300,000.00
  K70     1       4   HARPER MED PROF CORP       WL    PAYEFT           .00    165,000.00
  K78     1       6   SMITH MED PROF CORP        P     PAYEFT           .31    286,000.00
  K81     1       4   SAHLAS                     DDJ   PAYEFT           .00     81,000.00
  K86     2      14   MENCHIONS                  CWB   PAYEFT           .00    114,063.56
  K87     1       4   ANAND MED PROF CORP        S     PAYEFT           .00     70,000.00
  K96     1       4   LUMB MED PROF CORP         B     PAYEFT           .00    289,500.00
  L02     2      14   SETHI                      J     PAYEFT      2,927.87     52,683.58
  L04     2      42   ACKERMAN                   MJ    PAYEFT          9.69     30,882.65
  L05     2      41   AZIZ                       SB    PAYEFT         66.52     55,724.91
  L06     2      41   BARKER                     KL    PAYEFT         75.61     54,580.76
  L08     2      41   BULLOCK MED PROF CORP      RW    PAYEFT           .00          6.56
  L11     2      41   DEW MED PROF CORP          B     PAYEFT        157.62     51,001.72
  L21     2      42   HAWLEY                     K     PAYEFT           .00     36,519.30
  L22     2      42   HERSI                      A     PAYEFT        138.04     46,575.71
  L23     2      41   JOWETT MED PROF CORP       J     PAYEFT        154.70     76,842.56
  L25     2      41   KERR MED PROF CORP         DR    PAYEFT           .00     18,224.30
  L26     2      41   KRIZMANICH MED PROF CORP   W     PAYEFT        111.78     30,038.66
  L28     2      41   MACDOUGALL MED PROF CORP   PJ    PAYEFT        101.19     92,463.85
  L31     2      42   MILLER MED PROF CORP       PQ    PAYEFT         57.07     59,457.36
  L32     2      41   MORAN                      JC    PAYEFT           .00     31,883.61
  L39     2      42   SELLENS                    C     PAYEFT         61.77     81,386.68
  L41     2      41   SIMPSON MED PROF CORP      DL    PAYEFT        121.28     59,102.95
  L47     2      14   GIBSON CLINTON PROF CORP   JC    PAYEFT         20.51    410,307.74
  L48     1       7   MESTERMAN MED PROF CORP    R     PAYEFT           .53    214,707.00
  L50     1       3   BAILLIE MED PROF CORP      F     PAYEFT     18,172.38     65,792.60
  L53     1       3   KAHNAMOUI MED PROF CORP    K     PAYEFT           .00        832.22
  L56     1       4   YOU MED PROF CORP          J     PAYEFT           .00     40,000.00
  L57     2      14   SIRKO MED PROF CORP        P     PAYEFT     21,274.09    510,418.04
  L62     1       4   GERSTEIN MED PROF CORP     H     PAYEFT           .00    164,591.00
  L63     1       3   RUO MED PROF CORP          L     PAYEFT           .00    185,000.00
  L70     1       4   DROST                      NZA   PAYEFT           .00     45,000.00
  L75     2      14   HAMIELEC MED PROF CORP     C     PAYEFT           .00    333,902.22
  L76     1       4   MARGETTS MED PROF CORP     P     PAYEFT           .00    283,000.00
  L80     1       4   WHITTINGHAM MED PROF COR   H     PAYEFT           .00    190,000.00
  L83     1       4   PAI                        M     PAYEFT           .00     90,000.00
  L90     1       4   LEBER MED PROF CORP        BF    PAYEFT           .00    157,276.00
  L95     1       1   MUNOZ MED PROF CORP        JE    PAYEFT           .00    131,700.00
  L98     1       4   WALKER MED PROF CORP       I     PAYEFT           .00    196,250.00
  M03     1       5   VELTMAN                    A     PAYEFT     26,192.38    341,225.66
  M06     2      14   KOLESAR MED PROF CORP      R     PAYEFT           .00    258,581.36
  M08     1       4   YANG                       R     PAYEFT           .00    363,000.00
  M10     1       5   COUTURIER                  J     PAYEFT           .00     46,666.64
  M11     2      14   RIEBER MED PROF CORP       J     PAYEFT     21,288.80    369,694.82
  M16     1       4   COLLINS MED PROF CORP      S     PAYEFT           .00     80,000.00
  M17     1       4   PATEL MED PROF CORP        MA    PAYEFT           .00    397,616.00
  M18     1       3   AMIN MED PROF CORP         NK    PAYEFT           .00    385,000.00
  M19     1       4   JOLLY MED PROF CORP        SS    PAYEFT           .00    550,000.00
  M21     2      37   LUKIC                      D     PAYEFT        209.37        344.99
  M23     1       4   LIM MED PROF CORP          WPW   PAYEFT           .00    125,345.00
  M26     1       4   LEONTIADIS                 GI    PAYEFT           .00     78,750.00
  M35     2      14   HATEGAN                    A     PAYEFT     11,480.55    312,966.66
  M42     1       7   ATHALE MED PROF CORP       U     PAYEFT           .00    176,772.00
  M43     1       4   FOX-ROBICHAUD MED PROF     A     PAYEFT           .00    200,000.00
  M45     2      14   FARRAUTO                   LA    PAYEFT           .00    164,759.65
  M47     2      34   ARREDONDO MARIN            JL    PAYEFT           .00        409.05
  M49     2      36   ARREDONDO MARIN            JL    PAYEFT           .00        367.85
  M51     2      37   EL-SHINNAWY                IHM   PAYEFT        429.06      1,670.87
  M58     1      74   OROVEC MED PROF CORP       N     PAYEFT           .00    128,541.58
  M69     2      42   RICHARDS MED PROF CORP     D     PAYEFT         31.47     21,253.53
  M70     1       3   WHITLOCK MED PROF CORP     R     PAYEFT           .00    720,000.00
  M71     1       4   TEO MED PROF CORP          KK    PAYEFT           .00     41,066.67
  M74     2      41   PEK                        BM    PAYEFT           .00      7,106.36
  M76     2      14   HOLLENBERG                 R     PAYEFT           .00     49,554.70
  M78     1      74   CANISIUS                   E     PAYEFT           .00      6,400.00
  M79     1       4   WASI MED PROF CORP         P     PAYEFT           .00    320,000.00
  M81     2      14   SKRINSKAS MED PROF CORP    A     PAYEFT     37,061.71    351,608.90
  M82     1      74   WAHI                       G     PAYEFT           .00     11,933.08
  M83     1       3   KAPOOR MED PROF CORP       A     PAYEFT           .00    360,000.00
  M84     2      42   CROSSLEY                   J     PAYEFT        113.08     50,793.64
  M85     2      42   WORSTER MED PROF CORP      A     PAYEFT        123.35     32,264.77
  M91     1       4   JAESCHKE MED PROF CORP     R     PAYEFT           .32    256,500.00
  M97     1       1   THOMPSON MED PROF CORP     P     PAYEFT           .00    157,200.00
  M98     1       4   PUNTHAKEE MED PROF CORP    Z     PAYEFT           .00    200,000.00
  N02     1       5   MARTIN MED PROF CORP       L     PAYEFT           .00      6,250.00
  N08     2      36   BANE                       AL    PAYEFT           .00      8,958.56
  N11     1      74   FEDERICI MED PROF CORP     GM    PAYEFT        634.04    301,151.90
  N12     1       2   BUCKLEY MED PROF CORP      N     PAYEFT           .00     87,750.00
  N13     1       7   GILLELAND MED PROF CORP    J     PAYEFT           .00    210,000.00
  N15     4      50   BOYLE                      A     PAYEFT           .00     55,498.50
  N17     4      50   PLACH                      NR    PAYEFT           .00     44,398.77
  N19     4      50   TANIGUCHI                  A     PAYEFT           .00     23,927.30
  N22     4      50   WINEMAKER                  S     PAYEFT           .00     38,848.98
  N26     2      14   DARRAT MED PROF CORP       M     PAYEFT     29,627.70    661,572.52
  N30     2      41   TATARYN MED PROF CORP            PAYEFT         73.97     18,781.93
  N36     1       6   GANGAM MED PROF CORP       N     PAYEFT           .00     90,000.00
  N37     2      41   WOJTOWICZ MED PROF CORP    JM    PAYEFT        124.35     77,063.89
  N39     2      79   GULENCHYN MED PROF CORP    K     PAYEFT           .00    324,000.00
  N42     2      79   YAKEMCHUK                  V     PAYEFT           .00     83,250.00
  N43     1       7   BARR MED PROF CORP         R     PAYEFT           .00    191,000.00
  N45     1       1   QUART                      R     PAYEFT           .00    210,000.00
  N52     2      14   ISAC MED PROF CORP         M     PAYEFT     17,447.58    465,381.17
  N63     2      41   OPIE MED PROF CORP         JW    PAYEFT           .00          8.28
  N65     2      36   LEE MED PROF CORP          CH    PAYEFT         39.89     35,161.50
  N69     2      36   TANG                       S     PAYEFT           .00     15,544.21
  N70     1      74   O'TOOLE MED PROF CORP      F     PAYEFT           .00    301,842.85
  N71     1       6   WINSOR MED PROF CORP       S     PAYEFT           .00    228,000.00
  N72     1       4   ADACHI MED PROF CORP       JD    PAYEFT           .00    120,180.00
  N77     1       2   NANTHA-AREE MED PROF COR   M     PAYEFT           .00    240,000.00
  N84     2      14   KWOK MED PROF CORP         DC    PAYEFT     32,021.17    447,640.49
  N85     1       3   DATH MED PROF CORP         D     PAYEFT           .00    300,000.00
  N87     2      79   MARRIOTT MED PROF CORP     CJC   PAYEFT           .00    396,000.00
  N88     2      14   PARLEE MED PROF CORP       K     PAYEFT     27,030.24    520,752.81
  N89     1       5   GOLDBERG MED PROF CORP     J     PAYEFT           .00     51,494.00
  N97     1       4   GROSS MED PROF CORP        P     PAYEFT           .00    145,000.00
  N99     1       3   IYER MED PROF CORP         V     PAYEFT           .00    254,000.00
  P01     1       7   SHIVANANDA MED PROF CORP   SKP   PAYEFT           .62    192,800.00
  P03     1       5   CROWSON                    J     PAYEFT           .00    120,000.00
  P06     2      14   LING MED PROF CORP         E     PAYEFT     15,580.57    358,124.15
  P09     2      14   POWLES MED PROF CORP       P     PAYEFT      9,489.58    148,930.48
  P11     1       6   PERSADIE MED PROF CORP     R     PAYEFT           .00    509,000.00
  P12     1       4   WELSFORD MED PROF CORP     M     PAYEFT           .00     85,000.00
  P13     2      42   WELSFORD MED PROF CORP     M     PAYEFT        135.61     48,029.29
  P18     1       4   RABBAT MED PROF CORP       C     PAYEFT           .29    262,757.00
  P19     1       4   MEADE MED PROF CORP        MO    PAYEFT           .00    215,000.00
  P22     2      42   MALLIN MED PROF CORP       R     PAYEFT        183.91     37,666.27
  P23     1       5   LIPMAN MED PROF CORP       E     PAYEFT           .00     93,009.00
  P25     2      41   CARON MED PROF CORP        S     PAYEFT        106.47     39,090.70
  P26     1       4   WOODWARD                   KS    PAYEFT           .00    150,000.00
  P27     1       4   MATSOS                     M     PAYEFT           .00    140,000.00
  P36     1       4   PERRI MED PROF CORP        D     PAYEFT           .00    260,000.00
  P37     2      14   ALMOHRI                    H     PAYEFT           .00      9,400.95
  P40     4      50   STEFANCZYK-SAPIEHA         LM    PAYEFT           .00     55,498.50
  P41     1       4   LUTHRA MED PROF CORP       M     PAYEFT           .00    160,000.00
  P42     1       1   PATEL                      T     PAYEFT           .00    145,856.00
  P52     1      75   MALCOLMSON                 C     PAYEFT           .00     14,387.60
  P54     1      75   ANCHALA MED PROF CORP      K     PAYEFT        608.50     17,010.79
  P59     1       4   TUNKS                      MG    PAYEFT           .00     56,000.00
  P63     2      14   BROTEA                     A     PAYEFT      6,376.10    109,229.22
  P65     2      14   LETCHER                    K     PAYEFT         72.15    174,856.40
  P73     1       4   DENBURG MED PROF CORP      J     PAYEFT           .00     25,000.00
  P74     1      23   DAVIS                      A     PAYEFT           .00      7,296.76
  P77     1       1   DERRINGTON                 D     PAYEFT           .33    129,767.00
  P78     1       3   LAMY MED PROF CORP         A     PAYEFT           .00    420,000.00
  P79     1       4   KHAN MED PROF CORP         K     PAYEFT           .00    252,000.00
  P85     1      75   KRIZMANICH MED PROF CORP   W     PAYEFT           .00      1,735.55
  P87     2      14   DEGRAFT-JOHNSON PROF COR   A     PAYEFT     12,817.19    254,274.19
  P90     2      37   FANG                       X     PAYEFT           .00      5,586.73
  R19     1      75   MILLER MED PROF CORP       PQ    PAYEFT           .00          8.85
  R29     1       4   BROZEK                     J     PAYEFT           .00     68,000.00
  R32     4      50   PENDERELL                  AD    PAYEFT           .00     33,298.98
  R37     2      14   VAN REEKUM MED PROF CORP   R     PAYEFT      1,398.27     23,332.92
  R42     1       4   BAKER MED PROF CORP        S     PAYEFT           .00    252,000.00
  R46     1       4   CARMONA                    R     PAYEFT           .00    217,000.00
  R48     1      23   DERRINGTON                 D     PAYEFT           .00     51,882.85
  R49     1       6   DEFRANCE MED PROF CORP     B     PAYEFT           .00    299,474.00
  R53     1       7   PERNICA                    J     PAYEFT           .00     82,500.00
  R56     2      14   DAUPHIN MED PROF CORP      A     PAYEFT     26,224.34    441,943.38
  R66     1       7   MONDAL MED PROF CORP       T     PAYEFT           .00    241,290.00
  R67     1       3   WILLIAMS MED PROF CORP     DS    PAYEFT           .00    240,000.00
  R71     1       1   PRICE MED PROF CORP        D     PAYEFT           .00    134,211.00
  R72     2      14   ZABTIA                     N     PAYEFT      1,794.76    256,112.66
  R79     1       4   AZZAM MED PROF CORP        KM    PAYEFT           .00    240,000.00
  R85     1       7   RAMACHANDRANNAIR PROF CO   R     PAYEFT           .27    178,894.00
  R89     2      41   PARDHAN                    A     PAYEFT           .00        100.74
  R94     1       3   HARVEY                     P     PAYEFT           .00    134,333.00
  R95     1       4   PREBTANI MED PROF CORP     A     PAYEFT           .00    157,076.00
  R96     2      14   PURCELL MED PROF CORP      LK    PAYEFT           .00     15,617.04
  R98     1       4   YAKUBOVICH                 N     PAYEFT           .00     35,000.00
  T18     1       7   ZACHOS                     M     PAYEFT           .00    109,508.76
  T23     1       1   VORA MED PROF CORP         HP    PAYEFT           .00    144,000.00
  T30     1      73   LI MED PROF CORP           C     PAYEFT           .00    195,000.00
  T50     1       4   DOKAINISH                  H     PAYEFT           .31    409,148.00
  T52     1       4   HOLBROOK MED PROF CORP     AM    PAYEFT           .00    156,000.00
  T53     1       3   SIMUNOVIC MED PROF CORP    M     PAYEFT           .00    305,000.00
  T59     1       7   MURTHY MED PROF CORP       P     PAYEFT           .00    117,500.04
  T60     1       7   THOMAS MED PROF CORP       S     PAYEFT           .00     15,666.73
  T62     2      14   KLEIN                      B     PAYEFT           .00    115,719.50
  T63     1       1   POPURI                     P     PAYEFT     17,254.72    165,864.78
  T64     1       3   BAILEY                     K     PAYEFT           .00    288,000.00
  T67     1       4   KARACHI MED PROF CORP      T     PAYEFT           .00    269,000.00
  T68     1      75   HERNANDEZ                  A     PAYEFT           .00     23,575.00
  T69     1      75   HERNANDEZ                  A     PAYEFT           .00     53,662.49
  T70     2      41   ENGLISH MED PROF CORP      KE    PAYEFT        104.96     36,711.07
  T72     1      23   PATEL                      T     PAYEFT           .00     45,212.25
  T75     1      75   O'TOOLE MED PROF CORP      F     PAYEFT           .00      5,782.95
  T77     1      75   HALLETT MED PROF CORP      K     PAYEFT           .00     37,985.87
  T94     1       1   BIELECKI                   BAK   PAYEFT      3,000.01     63,096.05
  T96     2      14   AMLANI MED PROF CORP       S     PAYEFT           .00  1,261,566.24
  T97     1       7   PUNTHAKEE MED PROF CORP    Z     PAYEFT      2,000.00     12,000.00
  T99     1       4   TSE MED PROF CORP          FW    PAYEFT           .00    240,000.00
  V02     1       4   GREENWALD MED PROF CORP    ER    PAYEFT           .00    335,000.00
  V04     2      36   BOUTROSS-TADROSS PROF      O     PAYEFT           .00     11,931.90
  V06     1       4   TSOI MED PROF CORP         KSK   PAYEFT           .00    255,000.00
  V07     1       3   DENKERS MED PROF CORP      MR    PAYEFT           .00    347,280.00
  V13     1       3   SABRI MED PROF CORP        K     PAYEFT           .61    463,917.00
  V14     1      23   BIELECKI                   BAK   PAYEFT           .00     15,065.00
  V16     2      79   SINGNURKAR MED PROF CORP   A     PAYEFT           .00    396,000.00
  V17     1      23   VOROS MED PROF CORP        G     PAYEFT           .00     30,254.45
  V20     2      14   ZIKMAN MED PROF CORP       JM    PAYEFT      1,094.10     57,526.09
  V21     1      75   KAM                        A     PAYEFT           .36     92,020.77
  V22     1      75   KAM                        A     PAYEFT         20.00     47,632.21
  V24     1       3   MARCACCIO MED PROF CORP    MJ    PAYEFT           .00    331,250.00
  V28     1       4   HART MED PROF CORP         LE    PAYEFT           .00    115,000.00
  V29     1       4   JONES MED PROF CORP        GL    PAYEFT           .00    115,000.00
  V30     1       4   GANAME                     J     PAYEFT           .00     20,833.34
  V31     1       3   KACHUR MED PROF CORP       E     PAYEFT           .00    288,000.00
  V33     1       4   YUSUF MED PROF CORP        S     PAYEFT           .00    200,000.00
  V35     1      74   CHITAYAT                   SG    PAYEFT           .00    263,997.75
  V37     1       3   AVRAM MED PROF CORP        R     PAYEFT           .00    282,000.00
  V40     2      14   ALI MED PROF CORP          M     PAYEFT           .00    854,308.39
  V41     1       3   HONG MED PROF CORP         D     PAYEFT           .23    381,667.00
  V48     1       3   ARCHIBALD MED PROF CORP    JD    PAYEFT           .00    253,000.00
  V49     2      79   WONG-PACK                  WK    PAYEFT           .00    396,000.00
  V50     1       4   MAZUREK MED PROF CORP      MF    PAYEFT           .00    123,939.00
  V51     1       5   ROSEBUSH MED PROF CORP     P     PAYEFT           .00    108,260.00
  V52     2      14   HADDEN                     RA    PAYEFT           .00     72,943.76
  V54     1       3   RAPANOS MED PROF CORP      T     PAYEFT           .00    660,000.00
  V55     2      14   TUMA                       F     PAYEFT           .00     35,100.69
  V58     2      14   BENGIZI MED PROF CORP            PAYEFT     17,590.43    558,541.10
  V59     1       3   CHAUDHARY MED PROF CORP    V     PAYEFT           .02  1,586,000.00
  V63     1       2   FORERO                     CM    PAYEFT           .00    250,000.00
  V67     1       7   MORRISON MED PROF CORP     K     PAYEFT           .00    176,976.00
  V73     1      74   ROY                        M     PAYEFT           .00    132,453.87
  V74     1      74   LADHANI MED PROF CORP      M     PAYEFT           .00    135,631.12
  V77     1      75   BAIRD MED PROF CORP        JB    PAYEFT        141.88     33,763.89
  V85     1       4   KRAUS MED PROF CORP        P     PAYEFT           .00    185,000.00
  V86     1       4   JOSEPH                     G     PAYEFT           .00     20,000.00
  V87     1       6   MUELLER MED PROF CORP      V     PAYEFT           .00     83,333.00
  V97     1       1   SIU                        H     PAYEFT           .00     92,068.00
  V99     2      41   HANCOCK MED PROF CORP      W     PAYEFT         38.78     52,798.11
  W05     1       4   CHAKROBORTY MED PROF COR   A     PAYEFT           .00    200,000.00
  W06     1      17   FUGERE MED PROF CORP       C     PAYEFT           .00      5,941.59
  W07     1       1   FUGERE MED PROF CORP       C     PAYEFT           .00    156,000.00
  W08     1       3   AVRAM MED PROF CORP        V     PAYEFT           .21    284,417.00
  W11     2      14   YOUNG MED PROF CORP        JEM   PAYEFT     42,338.94    595,871.02
  W13     1       4   SHAPIRO                    M     PAYEFT           .00    111,000.00
  W16     1       5   ANGLIN                     RES   PAYEFT           .00    153,333.00
  W23     2      14   LESTER                     F     PAYEFT           .00      7,306.03
  W24     2      14   TSEGA                      E     PAYEFT           .00     28,151.97
  W26     1       4   VALANI MED PROF CORP       R     PAYEFT           .00    280,000.00
  W29     1       4   MAGLOIRE MED PROF CORP     P     PAYEFT           .00    125,000.00
  W30     1       4   MALLIN MED PROF CORP       R     PAYEFT           .00    144,000.00
  W31     1       5   WOODBURY-SMITH MED PROF    M     PAYEFT           .00     66,048.00
  W37     1       3   BURROW MED PROF CORP       S     PAYEFT           .00    242,000.00
  W38     1       3   BAIN MED PROF CORP         JR    PAYEFT           .00    264,000.00
  W39     1       7   DILLENBURG MED PROF CORP   R     PAYEFT           .00    246,000.00
  W40     1       4   ACKERMAN                   MJ    PAYEFT           .00    100,000.00
  W43     1      75   VALANI MED PROF CORP       R     PAYEFT           .00     11,833.92
  W59     1       2   WHYTE                      R     PAYEFT           .00     76,070.00
  W60     1       3   PINTHUS MED PROF CORP      JH    PAYEFT           .00    274,000.00
  W63     1       6   LEYLAND MED PROF CORP      NA    PAYEFT           .00    450,000.00
  W64     1       1   AGARWAL MED PROF CORP      R     PAYEFT           .00     89,714.00
  W66     2      42   VALANI MED PROF CORP       R     PAYEFT           .00     30,507.08
  W71     1       4   KHALIDI                    NA    PAYEFT           .00    180,000.00
  W72     1       4   O'BYRNE MED PROF CORP      P     PAYEFT           .00    159,839.46
  W78     2      14   SARKAR                     U     PAYEFT           .00      6,960.62
  W83     1      75   BAIRD MED PROF CORP        JB    PAYEFT           .00    120,467.69
  W85     1       7   GORTER MED PROF CORP       JW    PAYEFT           .00    183,000.00
  W87     1       4   MAZZADI MED PROF CORP      S     PAYEFT           .00    230,000.00
  W89     2      14   RABINOVICH MED PROF CORP   A     PAYEFT     34,559.90    899,385.90
  W95     1       4   SCHWALM MED PROF CORP      JD    PAYEFT           .01    525,000.00
  X20     1       4   PATTERSON MED PROF CORP    CJS   PAYEFT           .00    146,960.00
  X21     1       4   PATTERSON MED PROF CORP    CJS   PAYEFT           .00     10,000.00
  X22     1       7   NIEC MED PROF CORP         A     PAYEFT           .00    191,000.00
  X23     1       3   DAVIES MED PROF CORP       T     PAYEFT           .00    310,000.00
  X24     1       7   PARKER MED PROF CORP       M     PAYEFT           .00    156,750.00
  X25     1      75   PARKER MED PROF CORP       M     PAYEFT           .00     16,700.39
  X28     1       4   NESATHURAI                 S     PAYEFT           .00     41,000.00
  X30     1       3   SHARGALL MED PROF CORP     Y     PAYEFT           .00    455,000.00
  X39     2      14   HAALAND MED PROF CORP      D     PAYEFT      1,944.46     32,315.49
  X44     1      73   JOHNSON                    K     PAYEFT      3,928.40     31,752.23
  X45     1       4   MCLEOD                     H     PAYEFT           .00    160,000.00
  X53     1       4   FULFORD MED PROF CORP      M     PAYEFT           .00    134,000.00
  X59     1       4   DIVAKARA MENON MED PROF    SM    PAYEFT           .00    180,000.00
  X60     1       3   SNE MED PROF CORP          N     PAYEFT      5,751.83    115,114.44
  X61     1       3   SNE MED PROF CORP          N     PAYEFT           .00    470,000.00
  X62     2      38   SMIEJA                     MJ    PAYEFT        732.56      4,664.24
  X63     2      41   GREWAL MED PROF CORP       R     PAYEFT        105.64     38,179.20
  X67     2      14   MCFARLANE                  AH    PAYEFT      4,279.30     94,663.01
  X69     1       4   LINKINS MED PROF CORP      LA    PAYEFT           .00    100,000.00
  X70     1       4   KOLB MED PROF CORP         M     PAYEFT           .00     55,000.00
  X75     1       4   LEGASSIE MED PROF CORP     J     PAYEFT           .00    125,000.00
  Y01     1       4   YEGAPPAN MED PROF CORP     C     PAYEFT           .00    144,000.00
  Y03     4      50   WOODS MED PROF CORP        A     PAYEFT           .00     55,498.50
  Y06     1       4   MCMULLIN MED PROF CORP     J     PAYEFT           .00    200,000.00
  Y09     1       7   FUSCH MED PROF CORP        C     PAYEFT           .20    239,271.00
